filename,algo,sim,threshold,exe,pairs,lookups,indexEntriesSeen,candidatesP1,candidatesVerify,verifyTrueSteps,verifyTrueSetSizeSum,verifyTrueSetSizeCnt,verifyFalseSteps,verifyFalseSetSizeSum,verifyFalseSetSizeCnt,verifyLoop0True,verifyLoop0False,readrawrecords,algoindex,algojoin,readrawforeignrecords,adaptjoinlastext0,adaptjoinlastext1,adaptjoinlastext2,adaptjoinlastext3,adaptjoinlastext4,adaptjoinlastext5,adaptjoinlastext6,adaptjoinlastext7,adaptjoinlastext8,adaptjoinlastext9,adaptjoinlastext10,adaptjoinlastext11,adaptjoinlastext12,adaptjoinlastext13,adaptjoinlastext14,adaptjoinlastext15,adaptjoinlastext16,adaptjoinlastext17,adaptjoinlastext18,adaptjoinlastext19,adaptjoinlastext20
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.5,set_sim_join_candonly,0,,,,,,,,,,,,,3224,1020,162500,420,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.8,set_sim_join_ext_stat,4806011,1203524,553896335,33995473,33995473,7696498,40626408,9612022,86807696,556156636,58378924,2624904,661,3396,1032,27752,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.75,set_sim_join_nostat,12736613,,,,,,,,,,,,,3228,872,68976,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.95,set_sim_join_candonly,0,,,,,,,,,,,,,3400,1016,4300,444,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.7,set_sim_join_candonly,0,,,,,,,,,,,,,3384,1032,27868,336,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.5,set_sim_join_nostat,2406980403,,,,,,,,,,,,,3348,1192,539604,420,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.8,set_sim_join_ext_stat,4806011,1203524,553896335,282095920,282095920,7696498,40626408,9612022,448277583,3029162308,554579818,2624904,489427,3344,1200,21716,428,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.95,set_sim_join_ext_stat,3761447,692823,56166748,34720116,184623115,2870246,26181972,7522894,278722095,1668294134,361723336,2624904,24,3284,1612,7680,500,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.5,set_sim_join_ext_stat,2406980403,2224062,7240801136,4983064582,4983064582,956309077,18576577854,4813960806,4489074901,28423406763,5152168358,1839122089,,3472,1032,541916,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.6,set_sim_join_candonly,0,,,,,,,,,,,,,3444,1236,229332,472,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.7,set_sim_join_ext_stat,12966629,1405418,1120672112,1112690312,1112690312,58174328,132511017,25933258,3144303800,11187499631,2199447366,2624904,25303298,3212,1036,80756,416,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.75,set_sim_join_candonly,0,,,,,,,,,,,,,3424,1224,25948,424,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.6,set_sim_join_candonly,0,,,,,,,,,,,,,3400,1184,86852,416,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.9,set_sim_join_ext_stat,3770786,1018348,263038214,185178021,185178021,3014717,26566885,7541572,280344812,1687842641,362814470,2624904,,3368,1036,9876,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3216,880,2860,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.5,set_sim_join_candonly,0,,,,,,,,,,,,,3276,1636,195628,480,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.95,set_sim_join_nostat,3761447,,,,,,,,,,,,,3272,1608,6968,440,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.7,set_sim_join_candonly,0,,,,,,,,,,,,,3488,1096,27148,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.5,set_sim_join_nostat,2406980403,,,,,,,,,,,,,4052,1016,723712,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.5,set_sim_join_ext_stat,2406980403,6418006,38910992760,7985416725,2499698953,403110337,870253254,159777998,449109663,1102453639,185437100,,,3428,1556,740196,368,506731,431728,61261,4602,680,172,102,142,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.75,set_sim_join_ext_stat,12736613,1373665,815602550,519806106,519806106,31469286,128006233,25473226,844547384,5476001316,1014138986,2624904,,3356,1036,48596,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3348,1200,4448,420,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.7,set_sim_join_ext_stat,12966629,1405418,852243727,541747159,541747159,32797388,132511017,25933258,891294618,5881450456,1057561060,2624904,,3500,1132,51420,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.6,set_sim_join_candonly,0,,,,,,,,,,,,,3216,1104,56176,416,,,,,,,,,,,,,,,,,,,,,
