"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","12","Aldridge, LaMarcus","6 ft 11 in (2.11 m)","260 lb (118 kg)","1985–07–19","Texas"
"F","1","Anderson, Kyle","6 ft 9 in (2.06 m)","230 lb (104 kg)","1993–09–20","UCLA"
"F","42","Bertāns, Dāvis","6 ft 10 in (2.08 m)","210 lb (95 kg)","1992–11–12","Latvia"
"F/C","10","Costello, Matt (TW)","6 ft 10 in (2.08 m)","240 lb (109 kg)","1993–08–05","Michigan State"
"G","11","Forbes, Bryn","6 ft 3 in (1.91 m)","190 lb (86 kg)","1993–07–23","Michigan State"
"C","16","Gasol, Pau","7 ft 0 in (2.13 m)","250 lb (113 kg)","1980–07–06","Spain"
"F","22","Gay, Rudy","6 ft 8 in (2.03 m)","230 lb (104 kg)","1986–08–17","Connecticut"
"G","20","Ginóbili, Manu (C)","6 ft 6 in (1.98 m)","205 lb (93 kg)","1977–07–28","Argentina"
"G/F","14","Green, Danny","6 ft 6 in (1.98 m)","215 lb (98 kg)","1987–06–22","North Carolina"
"G","24","Hilliard, Darrun (TW)","6 ft 6 in (1.98 m)","220 lb (100 kg)","1993–04–13","Villanova"
"C","77","Lauvergne, Joffrey","6 ft 11 in (2.11 m)","260 lb (118 kg)","1991–09–30","INSEP (FRA)"
"F","2","Leonard, Kawhi  (C)","6 ft 7 in (2.01 m)","230 lb (104 kg)","1991–06–29","San Diego State"
"G","8","Mills, Patty","6 ft 0 in (1.83 m)","185 lb (84 kg)","1988–08–11","Saint Mary's"
"G","5","Murray, Dejounte","6 ft 5 in (1.96 m)","170 lb (77 kg)","1996–09–19","Washington"
"G","9","Parker, Tony  (C)","6 ft 2 in (1.88 m)","185 lb (84 kg)","1982–05–17","INSEP (FRA)"
"G","3","Paul, Brandon","6 ft 4 in (1.93 m)","200 lb (91 kg)","1991–04–30","Illinois"
"G","4","White, Derrick  (GL)","6 ft 4 in (1.93 m)","190 lb (86 kg)","1994–07–02","Colorado"
