"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","15","Arcidiacono, Ryan (TW)","6 ft 3 in (1.91 m)","195 lb (88 kg)","1994–03–26","Villanova"
"G","9","Blakeney, Antonio (TW)","6 ft 4 in (1.93 m)","197 lb (89 kg)","1996–10–04","LSU"
"G","32","Dunn, Kris","6 ft 4 in (1.93 m)","210 lb (95 kg)","1994–03–18","Providence"
"G","3","Felder, Kay","5 ft 9 in (1.75 m)","176 lb (80 kg)","1995–03–29","Oakland"
"F/C","6","Felício, Cristiano","6 ft 9 in (2.06 m)","280 lb (127 kg)","1992–07–07","CCSE Prep (CA)"
"G","2","Grant, Jerian","6 ft 4 in (1.93 m)","198 lb (90 kg)","1992–10–09","Notre Dame"
"G","7","Holiday, Justin","6 ft 6 in (1.98 m)","185 lb (84 kg)","1989–04–05","Washington"
"G","8","LaVine, Zach","6 ft 5 in (1.96 m)","185 lb (84 kg)","1995–03–10","UCLA"
"C","42","Lopez, Robin","7 ft 0 in (2.13 m)","277 lb (126 kg)","1988–04–01","Stanford"
"F","24","Markkanen, Lauri","7 ft 0 in (2.13 m)","230 lb (104 kg)","1997–05–22","Arizona"
"F","44","Mirotić, Nikola","6 ft 10 in (2.08 m)","238 lb (108 kg)","1991–02–11","Spain"
"G","11","Nwaba, David","6 ft 4 in (1.93 m)","209 lb (95 kg)","1993–01–14","Cal Poly San Luis Obispo"
"G","22","Payne, Cameron","6 ft 3 in (1.91 m)","185 lb (84 kg)","1994–08–08","Murray State"
"G","20","Pondexter, Quincy","6 ft 7 in (2.01 m)","225 lb (102 kg)","1988–03–10","Washington"
"F","5","Portis, Bobby","6 ft 11 in (2.11 m)","246 lb (112 kg)","1995–02–10","Arkansas"
"G","45","Valentine, Denzel","6 ft 6 in (1.98 m)","214 lb (97 kg)","1993–11–16","Michigan State"
"F","16","Zipser, Paul","6 ft 8 in (2.03 m)","226 lb (103 kg)","1994–02–18","Germany"
