"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","8","Aminu, Al-Farouq","6 ft 9 in (2.06 m)","220 lb (100 kg)","1990–09–21","Wake Forest"
"G","2","Baldwin, Wade  (TW)","6 ft 4 in (1.93 m)","202 lb (92 kg)","1996–03–29","Vanderbilt"
"F/C","33","Collins, Zach","7 ft 0 in (2.13 m)","230 lb (104 kg)","1997–11–19","Gonzaga"
"G/F","5","Connaughton, Pat","6 ft 5 in (1.96 m)","210 lb (95 kg)","1993–01–06","Notre Dame"
"F/C","17","Davis, Ed","6 ft 10 in (2.08 m)","245 lb (111 kg)","1989–06–05","North Carolina"
"F","4","Harkless, Maurice","6 ft 9 in (2.06 m)","220 lb (100 kg)","1993–05–11","St. John's"
"F","10","Layman, Jake","6 ft 9 in (2.06 m)","210 lb (95 kg)","1994–07–24","Maryland"
"F/C","11","Leonard, Meyers","7 ft 1 in (2.16 m)","255 lb (116 kg)","1992–02–27","Illinois"
"G","0","Lillard, Damian (C)","6 ft 3 in (1.91 m)","195 lb (88 kg)","1990–07–15","Weber State"
"G","3","McCollum, C. J. (C)","6 ft 3 in (1.91 m)","190 lb (86 kg)","1991–09–19","Lehigh"
"G","6","Napier, Shabazz","6 ft 1 in (1.85 m)","175 lb (79 kg)","1991–07–14","Connecticut"
"C","27","Nurkić, Jusuf","7 ft 0 in (2.13 m)","280 lb (127 kg)","1994–08–23","Bosnia and Herzegovina"
"F","50","Swanigan, Caleb","6 ft 8 in (2.03 m)","250 lb (113 kg)","1997–04–18","Purdue"
"G/F","1","Turner, Evan","6 ft 7 in (2.01 m)","220 lb (100 kg)","1988–10–27","Ohio State"
"F","21","Vonleh, Noah","6 ft 9 in (2.06 m)","245 lb (111 kg)","1995–08–24","Indiana"
"G","23","Wilcox, C. J.  (TW)","6 ft 5 in (1.96 m)","195 lb (88 kg)","1990–12–30","Washington"
