"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G/F","1","Anderson, Justin","6 ft 6 in (1.98 m)","230 lb (104 kg)","1993–11–19","Virginia"
"G","0","Bayless, Jerryd","6 ft 3 in (1.91 m)","200 lb (91 kg)","1988–08–20","Arizona"
"F","33","Covington, Robert","6 ft 9 in (2.06 m)","225 lb (102 kg)","1990–12–14","Tennessee State"
"C","21","Embiid, Joel (C)","7 ft 0 in (2.13 m)","250 lb (113 kg)","1994–03–16","Kansas"
"G","20","Fultz, Markelle","6 ft 4 in (1.93 m)","200 lb (91 kg)","1998–05–29","Washington"
"F/C","22","Holmes, Richaun","6 ft 10 in (2.08 m)","235 lb (107 kg)","1993–10–15","Bowling Green"
"F/C","5","Johnson, Amir","6 ft 9 in (2.06 m)","240 lb (109 kg)","1987–05–01","Westchester HS (CA)"
"G/F","30","Korkmaz, Furkan","6 ft 7 in (2.01 m)","190 lb (86 kg)","1997–07–24","Turkey"
"G/F","7","Luwawu-Cabarrot, Timothé","6 ft 6 in (1.98 m)","200 lb (91 kg)","1995–05–09","France"
"F","14","McAdoo, James Michael (TW)","6 ft 9 in (2.06 m)","230 lb (104 kg)","1993–01–04","North Carolina"
"G","12","McConnell, T. J.","6 ft 2 in (1.88 m)","190 lb (86 kg)","1992–03–25","Arizona"
"C","8","Okafor, Jahlil","6 ft 11 in (2.11 m)","260 lb (118 kg)","1995–12–15","Duke"
"G","00","Pullen, Jacob (TW)","6 ft 1 in (1.85 m)","200 lb (91 kg)","1989–11–10","Kansas State"
"G","17","Redick, J. J.","6 ft 4 in (1.93 m)","200 lb (91 kg)","1984–06–24","Duke"
"F","9","Šarić, Dario","6 ft 10 in (2.08 m)","223 lb (101 kg)","1994–04–08","Croatia"
"G/F","25","Simmons, Ben","6 ft 10 in (2.08 m)","230 lb (104 kg)","1996–07–20","LSU"
"G","11","Stauskas, Nik","6 ft 6 in (1.98 m)","205 lb (93 kg)","1993–10–07","Michigan"
