"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","33","Anderson, Ryan","6 ft 10 in (2.08 m)","240 lb (109 kg)","1988–05–06","UC Berkeley"
"F","1","Ariza, Trevor","6 ft 8 in (2.03 m)","215 lb (98 kg)","1985–06–30","UCLA"
"F/C","28","Black, Tarik","6 ft 9 in (2.06 m)","250 lb (113 kg)","1991–11–22","Kansas"
"G","6","Brown, Bobby","6 ft 2 in (1.88 m)","175 lb (79 kg)","1984–09–24","Cal State Fullerton"
"C","15","Capela, Clint","6 ft 10 in (2.08 m)","240 lb (109 kg)","1994–05–18","INSEP (FRA)"
"G","10","Gordon, Eric","6 ft 4 in (1.93 m)","215 lb (98 kg)","1988–12–25","Indiana"
"G","13","Harden, James (C)","6 ft 5 in (1.96 m)","220 lb (100 kg)","1989–08–26","Arizona State"
"G","2","Jackson, Demetrius (TW)","6 ft 1 in (1.85 m)","201 lb (91 kg)","1994–09–07","Notre Dame"
"F","12","Mbah a Moute, Luc","6 ft 8 in (2.03 m)","230 lb (104 kg)","1986–09–09","UCLA"
"F/C","42","Nenê","6 ft 11 in (2.11 m)","250 lb (113 kg)","1982–09–13","Brazil"
"F","21","Onuaku, Chinanu","6 ft 10 in (2.08 m)","245 lb (111 kg)","1996–11–01","Louisville"
"G","3","Paul, Chris","6 ft 0 in (1.83 m)","175 lb (79 kg)","1985–05–06","Wake Forest"
"F","4","Tucker, P. J.","6 ft 6 in (1.98 m)","245 lb (111 kg)","1985–05–05","Texas"
"G","0","Weber, Brianté (TW GL)","6 ft 2 in (1.88 m)","165 lb (75 kg)","1992-12-29","Virginia Commonwealth"
"F","5","Williams, Troy","6 ft 7 in (2.01 m)","218 lb (99 kg)","1994–12–30","Indiana"
"F/C","9","Zhou Qi","7 ft 1 in (2.16 m)","210 lb (95 kg)","1996–01–16","China"
