"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"C","42","Ajinça, Alexis","7 ft 2 in (2.18 m)","248 lb (112 kg)","1988–05–06","INSEP (FRA)"
"G/F","24","Allen, Tony","6 ft 4 in (1.93 m)","213 lb (97 kg)","1982–01–11","Oklahoma State"
"C","3","Aşık, Ömer","7 ft 0 in (2.13 m)","255 lb (116 kg)","1986–07–04","Turkey"
"G","2","Clark, Ian","6 ft 4 in (1.93 m)","175 lb (79 kg)","1991–03–07","Belmont"
"G","4","Cooke, Charles (TW)","6 ft 5 in (1.96 m)","196 lb (89 kg)","1994–07–01","Dayton"
"F","0","Cousins, DeMarcus","6 ft 11 in (2.11 m)","270 lb (122 kg)","1990–08–13","Kentucky"
"F","33","Cunningham, Dante","6 ft 8 in (2.03 m)","230 lb (104 kg)","1987–04–22","Villanova"
"F/C","23","Davis, Anthony (C)","6 ft 10 in (2.08 m)","253 lb (115 kg)","1993–03–11","Kentucky"
"F","13","Diallo, Cheick","6 ft 9 in (2.06 m)","220 lb (100 kg)","1996–09–13","Kansas"
"F","44","Hill, Solomon","6 ft 7 in (2.01 m)","225 lb (102 kg)","1991–03–18","Arizona"
"G","11","Holiday, Jrue","6 ft 4 in (1.93 m)","205 lb (93 kg)","1990–06–12","UCLA"
"G","15","Jackson, Frank","6 ft 3 in (1.91 m)","205 lb (93 kg)","1998–05–04","Duke"
"F","12","Jones, Jalen (TW)","6 ft 7 in (2.01 m)","220 lb (100 kg)","1993–05–27","Texas A&M"
"F","21","Miller, Darius","6 ft 8 in (2.03 m)","225 lb (102 kg)","1990–03–21","Kentucky"
"G","55","Moore, E'Twaun","6 ft 4 in (1.93 m)","191 lb (87 kg)","1989–02–25","Purdue"
"G","14","Nelson, Jameer","6 ft 0 in (1.83 m)","190 lb (86 kg)","1982-02-09","Saint Joseph's"
"G","9","Rondo, Rajon","6 ft 1 in (1.85 m)","186 lb (84 kg)","1986–02–22","Kentucky"
