"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"C","45","Aldrich, Cole","6 ft 11 in (2.11 m)","253 lb (115 kg)","1988–10–31","Kansas"
"F","8","Bjelica, Nemanja","6 ft 10 in (2.08 m)","235 lb (107 kg)","1988–05–09","Serbia"
"G","30","Brooks, Aaron","6 ft 0 in (1.83 m)","161 lb (73 kg)","1985–01–14","Oregon"
"F","3","Brown, Anthony (TW)","6 ft 7 in (2.01 m)","224 lb (102 kg)","1992–10–10","Stanford"
"G","23","Butler, Jimmy","6 ft 8 in (2.03 m)","236 lb (107 kg)","1989–09–14","Marquette"
"G","11","Crawford, Jamal","6 ft 5 in (1.96 m)","185 lb (84 kg)","1980–03–20","Michigan"
"C","5","Dieng, Gorgui","6 ft 11 in (2.11 m)","251 lb (114 kg)","1990–01–18","Louisville"
"G","13","Georges-Hunt, Marcus (GL)","6 ft 5 in (1.96 m)","226 lb (103 kg)","1994–03–28","Georgia Tech"
"F","67","Gibson, Taj","6 ft 9 in (2.06 m)","235 lb (107 kg)","1985–06–24","Southern California"
"G","1","Jones, Tyus","6 ft 2 in (1.88 m)","184 lb (83 kg)","1996–05–10","Duke"
"G/F","15","Muhammad, Shabazz","6 ft 6 in (1.98 m)","221 lb (100 kg)","1992–11–13","UCLA"
"C","24","Patton, Justin","7 ft 0 in (2.13 m)","236 lb (107 kg)","1997–06–14","Creighton"
"G","0","Teague, Jeff","6 ft 2 in (1.88 m)","189 lb (86 kg)","1988–06–10","Wake Forest"
"C","32","Towns, Karl-Anthony","7 ft 0 in (2.13 m)","248 lb (112 kg)","1995–11–15","Kentucky"
"F","22","Wiggins, Andrew","6 ft 8 in (2.03 m)","202 lb (92 kg)","1995–02–23","Kansas"
