"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","5","Barea, J. J.","6 ft 0 in (1.83 m)","185 lb (84 kg)","1984–06–26","Northeastern"
"F","40","Barnes, Harrison","6 ft 8 in (2.03 m)","225 lb (102 kg)","1992–05–30","North Carolina"
"G","8","Clavell, Gian (TW)","6 ft 4 in (1.93 m)","185 lb (84 kg)","1993–11–26","Colorado State"
"G","30","Curry, Seth","6 ft 2 in (1.88 m)","185 lb (84 kg)","1990–08–23","Duke"
"G","11","Ferrell, Yogi","6 ft 0 in (1.83 m)","180 lb (82 kg)","1993–05–09","Indiana"
"F","10","Finney-Smith, Dorian","6 ft 8 in (2.03 m)","220 lb (100 kg)","1993–05–04","Florida"
"G","34","Harris, Devin","6 ft 3 in (1.91 m)","185 lb (84 kg)","1983–02–27","Wisconsin"
"F","42","Kleber, Maxi","6 ft 11 in (2.11 m)","220 lb (100 kg)","1992–01–29","Germany"
"G","23","Matthews, Wesley","6 ft 5 in (1.96 m)","220 lb (100 kg)","1986–10–14","Marquette"
"F","13","McRoberts, Josh","6 ft 10 in (2.08 m)","240 lb (109 kg)","1987–02–28","Duke"
"C","50","Mejri, Salah","7 ft 2 in (2.18 m)","245 lb (111 kg)","1986–06–15","Tunisia"
"F","6","Motley, Johnathan (TW)","6 ft 9 in (2.06 m)","238 lb (108 kg)","1995–05–04","Baylor"
"C","3","Noel, Nerlens","6 ft 11 in (2.11 m)","228 lb (103 kg)","1994–04–10","Kentucky"
"F","41","Nowitzki, Dirk (C)","7 ft 0 in (2.13 m)","245 lb (111 kg)","1978–06–19","Germany"
"F/C","7","Powell, Dwight","6 ft 11 in (2.11 m)","240 lb (109 kg)","1991–07–20","Stanford"
"G","1","Smith Jr., Dennis","6 ft 3 in (1.91 m)","195 lb (88 kg)","1997–11–25","North Carolina State"
"C","17","Withey, Jeff","7 ft 0 in (2.13 m)","230 lb (104 kg)","1990–03–07","Kansas"
