"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","21","Beverley, Patrick","6 ft 1 in (1.85 m)","185 lb (84 kg)","1988–07–12","Arkansas"
"F","7","Dekker, Sam","6 ft 9 in (2.06 m)","230 lb (104 kg)","1994–05–06","Wisconsin"
"G","1","Evans, Jawun (GL)","6 ft 0 in (1.83 m)","190 lb (86 kg)","1996–07–26","Oklahoma State"
"F","8","Gallinari, Danilo","6 ft 10 in (2.08 m)","225 lb (102 kg)","1988–08–08","Italy"
"F","32","Griffin, Blake","6 ft 10 in (2.08 m)","251 lb (114 kg)","1989–03–16","Oklahoma"
"F/C","5","Harrell, Montrezl","6 ft 8 in (2.03 m)","240 lb (109 kg)","1994–01–26","Louisville"
"F","11","Johnson, Brice (GL)","6 ft 10 in (2.08 m)","230 lb (104 kg)","1994–06–27","North Carolina"
"F","33","Johnson, Wesley","6 ft 7 in (2.01 m)","215 lb (98 kg)","1987–07–11","Syracuse"
"C","6","Jordan, DeAndre","6 ft 11 in (2.11 m)","265 lb (120 kg)","1988–07–21","Texas A&M"
"C","35","Reed, Willie","6 ft 11 in (2.11 m)","245 lb (111 kg)","1990–05–16","Saint Louis"
"G","25","Rivers, Austin","6 ft 4 in (1.93 m)","200 lb (91 kg)","1992–08–01","Duke"
"G","4","Teodosić, Miloš","6 ft 5 in (1.96 m)","196 lb (89 kg)","1987–03–19","Serbia"
"G","0","Thornwell, Sindarius","6 ft 5 in (1.96 m)","215 lb (98 kg)","1994–11–15","South Carolina"
"G","9","Williams, C. J. (TW GL)","6 ft 5 in (1.96 m)","230 lb (104 kg)","1990–02–06","North Carolina State"
"G","23","Williams, Lou","6 ft 1 in (1.85 m)","175 lb (79 kg)","1986–10–27","South Gwinnett HS (GA)"
"F","13","Wilson, Jamil (TW GL)","6 ft 7 in (2.01 m)","229 lb (104 kg)","1990–11–20","Marquette"
