"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","13","Acy, Quincy","6 ft 7 in (2.01 m)","240 lb (109 kg)","1990–10–06","Baylor"
"C","31","Allen, Jarrett","6 ft 11 in (2.11 m)","234 lb (106 kg)","1998–04–21","Texas"
"F","35","Booker, Trevor","6 ft 8 in (2.03 m)","228 lb (103 kg)","1987–11–25","Clemson"
"F","9","Carroll, DeMarre","6 ft 8 in (2.03 m)","215 lb (98 kg)","1986–07–27","Missouri"
"G/F","33","Crabbe, Allen","6 ft 6 in (1.98 m)","215 lb (98 kg)","1992–04–09","UC Berkeley"
"G","8","Dinwiddie, Spencer","6 ft 6 in (1.98 m)","200 lb (91 kg)","1993–04–06","Colorado"
"G","12","Harris, Joe","6 ft 6 in (1.98 m)","219 lb (99 kg)","1991–09–07","Virginia"
"F","24","Hollis-Jefferson, Rondae","6 ft 7 in (2.01 m)","214 lb (97 kg)","1995–01–03","Arizona"
"G","6","Kilpatrick, Sean","6 ft 4 in (1.93 m)","212 lb (96 kg)","1990–01–06","Cincinnati"
"G/F","22","LeVert, Caris","6 ft 7 in (2.01 m)","203 lb (92 kg)","1994–08–25","Michigan"
"G","7","Lin, Jeremy","6 ft 3 in (1.91 m)","200 lb (91 kg)","1988–08–23","Harvard"
"C","20","Mozgov, Timofey","7 ft 1 in (2.16 m)","275 lb (125 kg)","1986–07–16","Russia"
"G","0","Ouattara, Yakuba (TW)","6 ft 4 in (1.93 m)","220 lb (100 kg)","1992–01–24","France"
"G","1","Russell, D'Angelo","6 ft 5 in (1.96 m)","195 lb (88 kg)","1996–02–23","Ohio State"
"G","15","Whitehead, Isaiah (GL)","6 ft 4 in (1.93 m)","213 lb (97 kg)","1995–03–08","Seton Hall"
"F","21","Wiley, Jacob (TW)","6 ft 8 in (2.03 m)","223 lb (101 kg)","1994–09–04","Eastern Washington"
"F/C","44","Zeller, Tyler","7 ft 0 in (2.13 m)","250 lb (113 kg)","1990–01–17","North Carolina"
