"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","81","Calderón, José","6 ft 3 in (1.91 m)","200 lb (91 kg)","1981–09–28","Spain"
"F","99","Crowder, Jae","6 ft 6 in (1.98 m)","235 lb (107 kg)","1990–07–06","Marquette"
"F","8","Frye, Channing","6 ft 11 in (2.11 m)","255 lb (116 kg)","1983–05–17","Arizona"
"F","32","Green, Jeff","6 ft 9 in (2.06 m)","235 lb (107 kg)","1986–08–28","Georgetown"
"G/F","10","Holland, John (TW)","6 ft 5 in (1.96 m)","205 lb (93 kg)","1988–11–06","Boston University"
"F","23","James, LeBron (C)","6 ft 8 in (2.03 m)","250 lb (113 kg)","1984–12–30","St. Vincent-St. Mary HS (OH)"
"G","26","Korver, Kyle","6 ft 7 in (2.01 m)","212 lb (96 kg)","1981–03–17","Creighton"
"F/C","0","Love, Kevin (C)","6 ft 10 in (2.08 m)","251 lb (114 kg)","1988–09–07","UCLA"
"F","16","Osman, Cedi","6 ft 8 in (2.03 m)","215 lb (98 kg)","1995–04–08","Turkey"
"G","15","Perrantes, London (TW)","6 ft 2 in (1.88 m)","190 lb (86 kg)","1994–10–03","Virginia"
"G","1","Rose, Derrick","6 ft 3 in (1.91 m)","190 lb (86 kg)","1988–10–04","Memphis"
"G","4","Shumpert, Iman","6 ft 5 in (1.96 m)","220 lb (100 kg)","1990–06–26","Georgia Tech"
"G/F","5","Smith, J. R.","6 ft 6 in (1.98 m)","225 lb (102 kg)","1985–09–09","Saint Benedict's Prep (NJ)"
"G","3","Thomas, Isaiah","5 ft 9 in (1.75 m)","185 lb (84 kg)","1989–02–07","Washington"
"F/C","13","Thompson, Tristan","6 ft 9 in (2.06 m)","238 lb (108 kg)","1991–03–13","Texas"
"G","9","Wade, Dwyane","6 ft 4 in (1.93 m)","220 lb (100 kg)","1982–01–17","Marquette"
"F/C","41","Žižić, Ante","6 ft 11 in (2.11 m)","250 lb (113 kg)","1997–01–04","Croatia"
