"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","2","Bell, Jordan","6 ft 9 in (2.06 m)","224 lb (102 kg)","1995-01-07","Oregon"
"F","25","Boucher, Chris (TW)","6 ft 10 in (2.08 m)","200 lb (91 kg)","1993-01-11","Oregon"
"F","18","Casspi, Omri","6 ft 9 in (2.06 m)","225 lb (102 kg)","1988-06-22","Israel"
"G","4","Cook, Quinn (TW)","6 ft 2 in (1.88 m)","179 lb (81 kg)","1993–03–23","Duke"
"G","30","Curry, Stephen (C)","6 ft 3 in (1.91 m)","190 lb (86 kg)","1988-03-14","Davidson"
"F","35","Durant, Kevin","6 ft 9 in (2.06 m)","240 lb (109 kg)","1988-09-29","Texas"
"F","23","Green, Draymond","6 ft 7 in (2.01 m)","230 lb (104 kg)","1990-03-04","Michigan State"
"G/F","9","Iguodala, Andre (C)","6 ft 6 in (1.98 m)","215 lb (98 kg)","1984-01-28","Arizona"
"C","15","Jones, Damian","7 ft 0 in (2.13 m)","245 lb (111 kg)","1995-06-30","Vanderbilt"
"G","34","Livingston, Shaun","6 ft 7 in (2.01 m)","192 lb (87 kg)","1985-09-11","Peoria Central HS (IL)"
"F","5","Looney, Kevon","6 ft 9 in (2.06 m)","220 lb (100 kg)","1996-02-06","UCLA"
"G","0","McCaw, Patrick","6 ft 7 in (2.01 m)","185 lb (84 kg)","1995-10-25","UNLV"
"C","1","McGee, JaVale","7 ft 0 in (2.13 m)","270 lb (122 kg)","1988-01-19","Nevada"
"C","27","Pachulia, Zaza","7 ft 0 in (2.13 m)","270 lb (122 kg)","1984-02-10","Georgia"
"G","11","Thompson, Klay","6 ft 7 in (2.01 m)","215 lb (98 kg)","1990-02-08","Washington State"
"F","3","West, David","6 ft 9 in (2.06 m)","250 lb (113 kg)","1980-08-29","Xavier"
"G/F","6","Young, Nick","6 ft 7 in (2.01 m)","210 lb (95 kg)","1985-06-01","Southern California"
