"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","34","Antetokounmpo, Giannis (C)","6 ft 11 in (2.11 m)","222 lb (101 kg)","1994–12–06","Greece"
"G","6","Bledsoe, Eric","6 ft 1 in (1.85 m)","205 lb (93 kg)","1989–12–09","Kentucky"
"F/C","24","Bolomboy, Joel (TW)","6 ft 9 in (2.06 m)","235 lb (107 kg)","1994–01–28","Weber State"
"G","13","Brogdon, Malcolm","6 ft 5 in (1.96 m)","215 lb (98 kg)","1992–12–11","Virginia"
"G","23","Brown, Sterling","6 ft 6 in (1.98 m)","230 lb (104 kg)","1995–02–10","Southern Methodist"
"G","8","Dellavedova, Matthew","6 ft 4 in (1.93 m)","198 lb (90 kg)","1990–09–08","Saint Mary's"
"F/C","31","Henson, John","6 ft 11 in (2.11 m)","229 lb (104 kg)","1990–12–28","North Carolina"
"G","25","Liggins, DeAndre","6 ft 6 in (1.98 m)","209 lb (95 kg)","1988–03–31","Kentucky"
"F/C","7","Maker, Thon","7 ft 1 in (2.16 m)","223 lb (101 kg)","1997–02–25","Orangeville Prep (CAN)"
"F","22","Middleton, Khris (C)","6 ft 8 in (2.03 m)","234 lb (106 kg)","1991–08–12","Texas A&M"
"F","12","Parker, Jabari","6 ft 8 in (2.03 m)","250 lb (113 kg)","1995–03–15","Duke"
"G","0","Payton, Gary (TW)","6 ft 3 in (1.91 m)","190 lb (86 kg)","1992–12–01","Oregon State"
"G","21","Snell, Tony","6 ft 7 in (2.01 m)","221 lb (100 kg)","1991–11–10","New Mexico"
"F","35","Teletović, Mirza","6 ft 9 in (2.06 m)","242 lb (110 kg)","1985–09–17","Bosnia and Herzegovina"
"G","3","Terry, Jason","6 ft 2 in (1.88 m)","185 lb (84 kg)","1977–09–15","Arizona"
"G","20","Vaughn, Rashad","6 ft 6 in (1.98 m)","202 lb (92 kg)","1996–08–16","UNLV"
"F","5","Wilson, D. J.","6 ft 10 in (2.08 m)","236 lb (107 kg)","1996–02–19","Michigan"
