"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"C","13","Anigbogu, Ike","6 ft 10 in (2.08 m)","250 lb (113 kg)","1998–10–22","UCLA"
"F","44","Bogdanović, Bojan","6 ft 8 in (2.03 m)","216 lb (98 kg)","1989–04–18","Croatia"
"G","2","Collison, Darren","6 ft 0 in (1.83 m)","175 lb (79 kg)","1987–08–23","UCLA"
"C","25","Jefferson, Al","6 ft 10 in (2.08 m)","289 lb (131 kg)","1985–01–04","Prentiss HS (MS)"
"G","6","Joseph, Cory","6 ft 3 in (1.91 m)","193 lb (88 kg)","1991–08–20","Texas"
"F","22","Leaf, T. J.","6 ft 10 in (2.08 m)","225 lb (102 kg)","1997–04–30","UCLA"
"G","4","Oladipo, Victor","6 ft 4 in (1.93 m)","210 lb (95 kg)","1992–05–04","Indiana"
"F","0","Poythress, Alex (TW)","6 ft 7 in (2.01 m)","238 lb (108 kg)","1993–09–06","Kentucky"
"G/F","40","Robinson, Glenn","6 ft 6 in (1.98 m)","222 lb (101 kg)","1994–01–08","Michigan"
"F","11","Sabonis, Domantas","6 ft 11 in (2.11 m)","240 lb (109 kg)","1996–05–03","Gonzaga"
"G","1","Stephenson, Lance","6 ft 5 in (1.96 m)","230 lb (104 kg)","1990–09–05","Cincinnati"
"G","5","Sumner, Edmond  (TW)","6 ft 6 in (1.98 m)","176 lb (80 kg)","1995–12–31","Xavier"
"F/C","33","Turner, Myles","6 ft 11 in (2.11 m)","250 lb (113 kg)","1996–03–24","Texas"
"G/F","12","Wilkins, Damien","6 ft 6 in (1.98 m)","225 lb (102 kg)","1980–01–11","Georgia"
"G","3","Young, Joe","6 ft 2 in (1.88 m)","185 lb (84 kg)","1992–06–27","Oregon"
"F","21","Young, Thaddeus","6 ft 8 in (2.03 m)","221 lb (100 kg)","1988–06–21","Georgia Tech"
