"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F/C","13","Adebayo, Bam","6 ft 10 in (2.08 m)","255 lb (116 kg)","1997–07–18","Kentucky"
"G","7","Dragić, Goran","6 ft 3 in (1.91 m)","190 lb (86 kg)","1986–05–06","Slovenia"
"G","2","Ellington, Wayne","6 ft 5 in (1.96 m)","200 lb (91 kg)","1987–11–29","North Carolina"
"C","4","Hammons, A. J. (GL)","7 ft 0 in (2.13 m)","260 lb (118 kg)","1992–08–27","Purdue"
"F","40","Haslem, Udonis (C)","6 ft 8 in (2.03 m)","235 lb (107 kg)","1980–06–09","Florida"
"F","16","Johnson, James","6 ft 8 in (2.03 m)","240 lb (109 kg)","1987–02–20","Wake Forest"
"G","8","Johnson, Tyler","6 ft 4 in (1.93 m)","190 lb (86 kg)","1992–05–07","Fresno State"
"G/F","17","McGruder, Rodney","6 ft 4 in (1.93 m)","200 lb (91 kg)","1991–07–29","Kansas State"
"F","25","Mickey, Jordan","6 ft 8 in (2.03 m)","235 lb (107 kg)","1994–07–09","LSU"
"F/C","9","Olynyk, Kelly","7 ft 0 in (2.13 m)","245 lb (111 kg)","1991–04–19","Gonzaga"
"G","0","Richardson, Josh","6 ft 6 in (1.98 m)","200 lb (91 kg)","1993–09–15","Tennessee"
"G","11","Waiters, Dion","6 ft 4 in (1.93 m)","215 lb (98 kg)","1991–12–10","Syracuse"
"G","14","Walton, Derrick (TW GL)","6 ft 1 in (1.85 m)","185 lb (84 kg)","1995–04–03","Michigan"
"F","15","White, Okaro","6 ft 8 in (2.03 m)","215 lb (98 kg)","1992–08–13","Florida State"
"C","21","Whiteside, Hassan (C)","7 ft 0 in (2.13 m)","265 lb (120 kg)","1989–06–13","Marshall"
"G","12","Williams, Matt (TW)","6 ft 5 in (1.96 m)","210 lb (95 kg)","1993–10–14","Central Florida"
"F","20","Winslow, Justise","6 ft 7 in (2.01 m)","225 lb (102 kg)","1996–03–26","Duke"
