"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","00","Arthur, Darrell","6 ft 9 in (2.06 m)","235 lb (107 kg)","1988–03–25","Kansas"
"G/F","5","Barton, Will","6 ft 6 in (1.98 m)","175 lb (79 kg)","1991–01–06","Memphis"
"G","25","Beasley, Malik","6 ft 5 in (1.96 m)","196 lb (89 kg)","1996–11–26","Florida State"
"F","21","Chandler, Wilson","6 ft 8 in (2.03 m)","225 lb (102 kg)","1987–05–10","DePaul"
"G/F","3","Craig, Torrey (TW GL)","6 ft 6 in (1.98 m)","215 lb (98 kg)","1990–12–19","USC Upstate"
"F","35","Faried, Kenneth","6 ft 9 in (2.06 m)","228 lb (103 kg)","1989–11–19","Morehead State"
"G","14","Harris, Gary","6 ft 4 in (1.93 m)","210 lb (95 kg)","1994–09–14","Michigan State"
"F","41","Hernangómez, Juan","6 ft 9 in (2.06 m)","230 lb (104 kg)","1995–09–28","Spain"
"F","22","Jefferson, Richard","6 ft 7 in (2.01 m)","233 lb (106 kg)","1980–06–21","Arizona"
"F/C","15","Jokić, Nikola (C)","6 ft 10 in (2.08 m)","250 lb (113 kg)","1995–02–19","Serbia"
"F","20","Lydon, Tyler","6 ft 9 in (2.06 m)","220 lb (100 kg)","1996–04–09","Syracuse"
"F","7","Lyles, Trey","6 ft 10 in (2.08 m)","234 lb (106 kg)","1995–11–05","Kentucky"
"F","4","Millsap, Paul","6 ft 8 in (2.03 m)","246 lb (112 kg)","1985–02–10","Louisiana Tech"
"G","11","Morris, Monté (TW GL)","6 ft 3 in (1.91 m)","175 lb (79 kg)","1995–06–27","Iowa State"
"G","0","Mudiay, Emmanuel","6 ft 5 in (1.96 m)","200 lb (91 kg)","1996–03–05","Prime Prep Academy (TX)"
"G","27","Murray, Jamal","6 ft 4 in (1.93 m)","207 lb (94 kg)","1997–02–23","Kentucky"
"F/C","24","Plumlee, Mason","6 ft 11 in (2.11 m)","255 lb (116 kg)","1990–03–05","Duke"
