"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G/F","7","Bacon, Dwayne","6 ft 7 in (2.01 m)","221 lb (100 kg)","1995–08–30","Florida State"
"G/F","5","Batum, Nicolas","6 ft 8 in (2.03 m)","200 lb (91 kg)","1988–12–14","France"
"G","10","Carter-Williams, Michael","6 ft 6 in (1.98 m)","190 lb (86 kg)","1991–10–10","Syracuse"
"G/F","21","Graham, Treveon","6 ft 5 in (1.96 m)","219 lb (99 kg)","1993–10–28","Virginia Commonwealth"
"C","12","Howard, Dwight","6 ft 11 in (2.11 m)","265 lb (120 kg)","1985–12–08","SW Atlanta Academy (GA)"
"F/C","44","Kaminsky, Frank","7 ft 0 in (2.13 m)","242 lb (110 kg)","1993–04–04","Wisconsin"
"F","14","Kidd-Gilchrist, Michael","6 ft 7 in (2.01 m)","232 lb (105 kg)","1993–09–26","Kentucky"
"G","3","Lamb, Jeremy","6 ft 5 in (1.96 m)","185 lb (84 kg)","1992–05–30","Connecticut"
"F/C","9","Mathiang, Mangok (TW)","6 ft 10 in (2.08 m)","230 lb (104 kg)","1992–10–08","Louisville"
"G","1","Monk, Malik","6 ft 3 in (1.91 m)","200 lb (91 kg)","1998–02–04","Kentucky"
"F/C","8","O'Bryant, Johnny","6 ft 9 in (2.06 m)","257 lb (117 kg)","1993–06–01","LSU"
"G","4","Paige, Marcus (TW)","6 ft 0 in (1.83 m)","164 lb (74 kg)","1993–09–11","North Carolina"
"G","32","Stone, Julyan","6 ft 6 in (1.98 m)","200 lb (91 kg)","1988–12–07","Texas–El Paso"
"G","15","Walker, Kemba (C)","6 ft 1 in (1.85 m)","184 lb (83 kg)","1990–05–08","Connecticut"
"F","2","Williams, Marvin","6 ft 9 in (2.06 m)","237 lb (108 kg)","1986–06–19","North Carolina"
"F/C","40","Zeller, Cody","7 ft 0 in (2.13 m)","240 lb (109 kg)","1992–10–05","Indiana"
