"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","31","Baker, Ron","6 ft 4 in (1.93 m)","220 lb (100 kg)","1993–03–30","Wichita State"
"F","8","Beasley, Michael","6 ft 9 in (2.06 m)","235 lb (107 kg)","1989–01–09","Kansas State"
"G","21","Dotson, Damyean","6 ft 5 in (1.96 m)","210 lb (95 kg)","1994–05–06","Houston"
"G/F","3","Hardaway, Tim","6 ft 6 in (1.98 m)","205 lb (93 kg)","1992–03–16","Michigan"
"C","14","Hernangómez, Willy","6 ft 11 in (2.11 m)","240 lb (109 kg)","1994–05–27","Spain"
"F","4","Hicks, Isaiah (TW)","6 ft 9 in (2.06 m)","242 lb (110 kg)","1994–07–24","North Carolina"
"G","55","Jack, Jarrett","6 ft 3 in (1.91 m)","200 lb (91 kg)","1983–10–28","Georgia Tech"
"C","00","Kanter, Enes","6 ft 11 in (2.11 m)","245 lb (111 kg)","1992–05–20","Stoneridge Prep (CA)"
"F/C","2","Kornet, Luke (TW)","7 ft 1 in (2.16 m)","250 lb (113 kg)","1995–07–15","Vanderbilt"
"G","5","Lee, Courtney","6 ft 5 in (1.96 m)","200 lb (91 kg)","1985–10–03","Western Kentucky"
"F","20","McDermott, Doug","6 ft 8 in (2.03 m)","219 lb (99 kg)","1992–01–03","Creighton"
"C","13","Noah, Joakim","6 ft 11 in (2.11 m)","230 lb (104 kg)","1985–02–25","Florida"
"G","11","Ntilikina, Frank","6 ft 5 in (1.96 m)","190 lb (86 kg)","1998–07–28","France"
"F/C","9","O'Quinn, Kyle","6 ft 10 in (2.08 m)","250 lb (113 kg)","1990–03–26","Norfolk State"
"F/C","6","Porziņģis, Kristaps","7 ft 3 in (2.21 m)","240 lb (109 kg)","1995–08–02","Latvia"
"G","1","Sessions, Ramon","6 ft 3 in (1.91 m)","190 lb (86 kg)","1986–04–11","Nevada"
"F","42","Thomas, Lance","6 ft 8 in (2.03 m)","235 lb (107 kg)","1988–04–24","Duke"
