"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","4","Afflalo, Arron","6 ft 5 in (1.96 m)","210 lb (95 kg)","1985–10–15","UCLA"
"F","0","Artis, Jamel (TW)","6 ft 7 in (2.01 m)","213 lb (97 kg)","1993–01–12","Pittsburgh"
"G","14","Augustin, D. J.","6 ft 0 in (1.83 m)","183 lb (83 kg)","1987–11–10","Texas"
"C","24","Birch, Khem (GL)","6 ft 9 in (2.06 m)","220 lb (100 kg)","1992–09–28","UNLV"
"C","11","Biyombo, Bismack","6 ft 9 in (2.06 m)","255 lb (116 kg)","1992–08–28","DR Congo"
"G/F","10","Fournier, Evan","6 ft 7 in (2.01 m)","205 lb (93 kg)","1992–10–29","INSEP (FRA)"
"F","00","Gordon, Aaron","6 ft 9 in (2.06 m)","220 lb (100 kg)","1995–09–16","Arizona"
"G/F","8","Hezonja, Mario","6 ft 8 in (2.03 m)","218 lb (99 kg)","1995–02–25","Croatia"
"F","1","Isaac, Jonathan","6 ft 10 in (2.08 m)","210 lb (95 kg)","1997–10–03","Florida State"
"F","25","Iwundu, Wes (GL)","6 ft 7 in (2.01 m)","195 lb (88 kg)","1994–12–20","Kansas State"
"G","7","Mack, Shelvin","6 ft 3 in (1.91 m)","203 lb (92 kg)","1990–04–22","Butler"
"F","33","Payne, Adreian (TW)","6 ft 10 in (2.08 m)","237 lb (108 kg)","1991–02–19","Michigan State"
"G","2","Payton, Elfrid","6 ft 4 in (1.93 m)","185 lb (84 kg)","1994–02–22","Louisiana–Lafayette"
"G/F","31","Ross, Terrence","6 ft 7 in (2.01 m)","206 lb (93 kg)","1991–02–05","Washington"
"F","17","Simmons, Jonathon","6 ft 6 in (1.98 m)","195 lb (88 kg)","1989–09–14","Houston"
"F/C","5","Speights, Marreese","6 ft 10 in (2.08 m)","255 lb (116 kg)","1987–08–04","Florida"
"C","9","Vučević, Nikola","7 ft 0 in (2.13 m)","260 lb (118 kg)","1990–10–24","Southern California"
