"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F/C","35","Bender, Dragan","7 ft 1 in (2.16 m)","225 lb (102 kg)","1997–11–17","Croatia"
"G","1","Booker, Devin (C)","6 ft 6 in (1.98 m)","210 lb (95 kg)","1996–10–30","Kentucky"
"C","4","Chandler, Tyson","7 ft 1 in (2.16 m)","240 lb (109 kg)","1982–10–02","Manuel Dominguez HS (CA)"
"F","0","Chriss, Marquese","6 ft 10 in (2.08 m)","240 lb (109 kg)","1997–07–02","Washington"
"G","30","Daniels, Troy","6 ft 4 in (1.93 m)","205 lb (93 kg)","1991–07–15","Virginia Commonwealth"
"F","3","Dudley, Jared","6 ft 7 in (2.01 m)","240 lb (109 kg)","1985–07–10","Boston College"
"F","20","Jackson, Josh","6 ft 8 in (2.03 m)","200 lb (91 kg)","1997–02–10","Kansas"
"G","55","James, Mike (TW)","6 ft 1 in (1.85 m)","195 lb (88 kg)","1990–08–18","Lamar"
"G/F","10","Jones, Derrick (GL)","6 ft 7 in (2.01 m)","195 lb (88 kg)","1997–02–15","UNLV"
"G","11","Knight, Brandon","6 ft 3 in (1.91 m)","195 lb (88 kg)","1991–12–02","Kentucky"
"C","21","Len, Alex","7 ft 1 in (2.16 m)","250 lb (113 kg)","1993–06–16","Maryland"
"C","14","Monroe, Greg","6 ft 11 in (2.11 m)","265 lb (120 kg)","1990–06–04","Georgetown"
"F","25","Peters, Alec (TW)","6 ft 9 in (2.06 m)","235 lb (107 kg)","1995–04–13","Valparaiso"
"G","32","Reed, Davon","6 ft 6 in (1.98 m)","210 lb (95 kg)","1995–06–11","Miami (FL)"
"G","8","Ulis, Tyler","5 ft 10 in (1.78 m)","160 lb (73 kg)","1996–01–05","Kentucky"
"F","12","Warren, T. J.","6 ft 8 in (2.03 m)","215 lb (98 kg)","1993–09–05","North Carolina State"
"F/C","15","Williams, Alan","6 ft 8 in (2.03 m)","265 lb (120 kg)","1993–01–28","UC Santa Barbara"
