"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"G","22","Bradley, Avery","6 ft 2 in (1.88 m)","180 lb (82 kg)","1990–11–26","Texas"
"F","25","Bullock, Reggie","6 ft 7 in (2.01 m)","205 lb (93 kg)","1991–03–16","North Carolina"
"G","20","Buycks, Dwight (TW)","6 ft 3 in (1.91 m)","190 lb (86 kg)","1989–03–06","Marquette"
"C","0","Drummond, Andre","6 ft 11 in (2.11 m)","279 lb (127 kg)","1993–08–10","Connecticut"
"F","8","Ellenson, Henry","6 ft 11 in (2.11 m)","245 lb (111 kg)","1997–01–13","Marquette"
"G","9","Galloway, Langston","6 ft 2 in (1.88 m)","200 lb (91 kg)","1991–12–09","Saint Joseph's"
"F","34","Harris, Tobias","6 ft 9 in (2.06 m)","235 lb (107 kg)","1992–07–15","Tennessee"
"G","1","Jackson, Reggie","6 ft 3 in (1.91 m)","208 lb (94 kg)","1990–04–16","Boston College"
"F","7","Johnson, Stanley","6 ft 7 in (2.01 m)","245 lb (111 kg)","1996–05–29","Arizona"
"G","5","Kennard, Luke","6 ft 5 in (1.96 m)","200 lb (91 kg)","1996–06–24","Duke"
"F","30","Leuer, Jon","6 ft 10 in (2.08 m)","228 lb (103 kg)","1989–05–14","Wisconsin"
"C","51","Marjanović, Boban","7 ft 3 in (2.21 m)","290 lb (132 kg)","1988–08–15","Serbia"
"G","44","Montero, Luis (TW)","6 ft 7 in (2.01 m)","200 lb (91 kg)","1993–04–06","Westchester CC"
"F/C","24","Moreland, Eric","6 ft 10 in (2.08 m)","238 lb (108 kg)","1991–12–24","Oregon State"
"G","14","Smith, Ish","6 ft 0 in (1.83 m)","175 lb (79 kg)","1988–07–05","Wake Forest"
"F","43","Tolliver, Anthony","6 ft 8 in (2.03 m)","240 lb (109 kg)","1985–06–01","Creighton"
