"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"C","13","Bradley, Tony","6 ft 10 in (2.08 m)","248 lb (112 kg)","1998–01–08","North Carolina"
"G","10","Burks, Alec","6 ft 6 in (1.98 m)","214 lb (97 kg)","1991–07–20","Colorado"
"G","11","Exum, Dante","6 ft 6 in (1.98 m)","190 lb (86 kg)","1995–07–13","Lake Ginninderra (AUS)"
"F/C","15","Favors, Derrick","6 ft 10 in (2.08 m)","265 lb (120 kg)","1991–07–15","Georgia Tech"
"C","27","Gobert, Rudy  (C)","7 ft 1 in (2.16 m)","245 lb (111 kg)","1992–06–26","France"
"F/C","17","Griffin, Eric (TW)","6 ft 8 in (2.03 m)","205 lb (93 kg)","1990–05–26","Campbell"
"F","5","Hood, Rodney","6 ft 8 in (2.03 m)","206 lb (93 kg)","1992–10–20","Duke"
"F","2","Ingles, Joe","6 ft 8 in (2.03 m)","226 lb (103 kg)","1987–10–02","Lake Ginninderra (AUS)"
"F","8","Jerebko, Jonas","6 ft 10 in (2.08 m)","231 lb (105 kg)","1987–03–02","Sweden"
"G/F","6","Johnson, Joe","6 ft 7 in (2.01 m)","240 lb (109 kg)","1981–06–29","Arkansas"
"G","45","Mitchell, Donovan","6 ft 3 in (1.91 m)","215 lb (98 kg)","1996–09–07","Louisville"
"G","25","Neto, Raul","6 ft 1 in (1.85 m)","179 lb (81 kg)","1992–05–19","Brazil"
"F","23","O'Neale, Royce","6 ft 6 in (1.98 m)","226 lb (103 kg)","1993–06–05","Baylor"
"G","3","Rubio, Ricky","6 ft 4 in (1.93 m)","190 lb (86 kg)","1990–10–21","Spain"
"F","22","Sefolosha, Thabo","6 ft 7 in (2.01 m)","220 lb (100 kg)","1984–05–02","Switzerland"
"F/C","33","Udoh, Ekpe","6 ft 10 in (2.08 m)","245 lb (111 kg)","1987–05–20","Baylor"
"G","16","Wolters, Nate (TW)","6 ft 4 in (1.93 m)","190 lb (86 kg)","1991–05–15","South Dakota State"
